Time Step,Time,Total Discharge
641,2015-12-27 17:00:00,0.487747
642,2015-12-27 18:00:00,0.487580
643,2015-12-27 19:00:00,0.487412
644,2015-12-27 20:00:00,0.487244
645,2015-12-27 21:00:00,0.487076
646,2015-12-27 22:00:00,0.486907
647,2015-12-27 23:00:00,0.486737
648,2015-12-28 00:00:00,0.486567
649,2015-12-28 01:00:00,0.486397
650,2015-12-28 02:00:00,0.486226
651,2015-12-28 03:00:00,0.486055
652,2015-12-28 04:00:00,0.485884
653,2015-12-28 05:00:00,0.485712
654,2015-12-28 06:00:00,0.485540
655,2015-12-28 07:00:00,0.485367
656,2015-12-28 08:00:00,0.485194
657,2015-12-28 09:00:00,0.485021
658,2015-12-28 10:00:00,0.484847
659,2015-12-28 11:00:00,0.484673
660,2015-12-28 12:00:00,0.484499
661,2015-12-28 13:00:00,0.484325
662,2015-12-28 14:00:00,0.484150
663,2015-12-28 15:00:00,0.483975
664,2015-12-28 16:00:00,0.483800
665,2015-12-28 17:00:00,0.483624
666,2015-12-28 18:00:00,0.483448
667,2015-12-28 19:00:00,0.483272
668,2015-12-28 20:00:00,0.483096
669,2015-12-28 21:00:00,0.482920
670,2015-12-28 22:00:00,0.482743
671,2015-12-28 23:00:00,0.482566
672,2015-12-29 00:00:00,0.482389
673,2015-12-29 01:00:00,0.482213
674,2015-12-29 02:00:00,0.482035
675,2015-12-29 03:00:00,0.481858
676,2015-12-29 04:00:00,0.481681
677,2015-12-29 05:00:00,0.481504
678,2015-12-29 06:00:00,0.481327
679,2015-12-29 07:00:00,0.481149
680,2015-12-29 08:00:00,0.480972
681,2015-12-29 09:00:00,0.480795
682,2015-12-29 10:00:00,0.480617
683,2015-12-29 11:00:00,0.480440
684,2015-12-29 12:00:00,0.480263
685,2015-12-29 13:00:00,0.480086
686,2015-12-29 14:00:00,0.479908
687,2015-12-29 15:00:00,0.479731
688,2015-12-29 16:00:00,0.479554
689,2015-12-29 17:00:00,0.479378
690,2015-12-29 18:00:00,0.479201
691,2015-12-29 19:00:00,0.479024
692,2015-12-29 20:00:00,0.478848
693,2015-12-29 21:00:00,0.478672
694,2015-12-29 22:00:00,0.478496
